Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Event_Date
20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,,,PHL,PHILADELPHIA INTL,Non-Fatal,Minor,Airplane,N1814U,Mcdonnell-Douglas,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines Inc.,0.0,1.0,0.0,154.0,IMC,Takeoff,Probable Cause,03-02-1983,1982-02-03
20020917X02585,Accident,SEA82DA028A,1982-02-06,"MEDFORD, OR",United States,,,MFR,MEDFORD-JACKSON COUNTY,Non-Fatal,Minor,Airplane,N56270,Boeing,A75N1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,06-02-1983,1982-02-06
20020917X02173,Accident,LAX82DA065B,1982-02-06,"SAN JOSE, CA",United States,,,RHV,RIED HILLVIEW,Non-Fatal,Minor,Airplane,N71681,Bellanca,7KCAB,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,06-02-1983,1982-02-06
20020917X01716,Accident,ATL82DKW06B,1982-03-11,"NASHVILLE, TN",United States,,,BNA,NASHVILLE METRO,Non-Fatal,Minor,Airplane,N303RM,Beech,95-55,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,,0.0,0.0,0.0,2.0,IMC,Taxi,Probable Cause,11-03-1983,1982-03-11
20020917X02095,Accident,FTW82DQG17,1982-04-03,"MASTERSON, TX",United States,,,,,Non-Fatal,Minor,Balloon,N1524U,Balloon Works,7-B,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,03-04-1983,1982-04-03
20020917X02609,Accident,SEA82DA057,1982-04-23,"CHRISTMAS VALLE, OR",United States,,,,,Non-Fatal,Minor,Helicopter,N62377,Hiller-Soloy,12E,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,1.0,0.0,1.0,VMC,Standing,Probable Cause,23-04-1983,1982-04-23
20020917X02558,Accident,NYC82FHJ04B,1982-04-25,"NEW YORK, NY",United States,,,,34TH HELIPORT,Non-Fatal,Minor,Helicopter,N49575,Bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,4.0,VMC,Standing,Probable Cause,25-04-1983,1982-04-25
20020917X03642,Accident,LAX82FA156B,1982-05-01,"CAMARILLO, CA",United States,,,CMA,CAMARILLO,Non-Fatal,Minor,Airplane,N7254L,Grumman,AA-1A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,1.0,VMC,Approach,Probable Cause,01-05-1983,1982-05-01
20020917X02721,Accident,ATL82DA123B,1982-05-01,"MARIETTA, GA",United States,,,8A4,MCCOLLUM,Non-Fatal,Minor,Airplane,N74189,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-05-1983,1982-05-01
20020917X03645,Accident,LAX82FA163,1982-05-08,"FOUNTAIN VALLEY, CA",United States,,,,,Non-Fatal,Minor,Balloon,GBJZC,"Thunder Balloons, Ltd.",LTD.,No,0.0,Unknown,Part 91: General Aviation,,Unknown,,0.0,2.0,2.0,0.0,VMC,Takeoff,Probable Cause,08-05-1983,1982-05-08
