Make,Injury.Severity,Aircraft.damage,Aircraft.Category,Engine.Type,Number_of_Aircrafts
Airbus,Non-Fatal,Minor,Airplane,Turbo Fan,17
Airbus Industrie,Non-Fatal,Minor,Airplane,Turbo Fan,6
Beech,Non-Fatal,Minor,Airplane,Reciprocating,8
Beech,Non-Fatal,Minor,Airplane,Turbo Prop,10
Boeing,Non-Fatal,Minor,Airplane,Turbo Fan,59
Bombardier Inc,Non-Fatal,Minor,Airplane,Turbo Fan,10
Cessna,Non-Fatal,Minor,Airplane,Reciprocating,42
Cessna,Non-Fatal,Minor,Airplane,Turbo Fan,9
Cirrus Design Corp,Non-Fatal,Minor,Airplane,Reciprocating,8
Embraer,Non-Fatal,Minor,Airplane,Turbo Fan,11
Mcdonnell Douglas,Non-Fatal,Minor,Airplane,Turbo Fan,6
Piper,Non-Fatal,Minor,Airplane,Reciprocating,20
